"No.","Time","Source","Destination","Protocol","Length","Info"
"14955","139.437538","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14956","139.437538","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14957","139.437538","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14958","139.437538","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14959","139.437538","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14960","139.437538","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14961","139.437538","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14962","139.437538","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14963","139.437900","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14964","139.437900","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14965","139.437900","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14966","139.437900","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14967","139.437900","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14968","139.437900","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14969","139.437900","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14970","139.437900","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14971","139.437900","104.18.32.47","192.168.88.132","QUIC","105","Protected Payload (KP0)"
"14972","139.437900","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14973","139.437900","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14974","139.437900","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14975","139.437900","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14976","139.437900","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14977","139.438154","192.168.88.132","104.18.32.47","QUIC","90","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
"14978","139.438176","192.168.88.132","102.132.104.21","TCP","54","62359  >  443 [ACK] Seq=321 Ack=281 Win=252 Len=0"
"14979","139.438424","192.168.88.132","104.18.32.47","QUIC","90","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
"14980","139.438621","192.168.88.132","104.18.32.47","QUIC","90","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
"14981","139.438851","192.168.88.132","104.18.32.47","QUIC","91","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
"14982","139.439070","192.168.88.132","104.18.32.47","QUIC","91","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
"14983","139.441518","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14984","139.441518","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14985","139.441518","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14986","139.441518","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14987","139.441518","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14988","139.441518","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14989","139.441518","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14990","139.441518","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14991","139.441518","104.18.32.47","192.168.88.132","QUIC","1242","Protected Payload (KP0)"
"14992","139.441518","160.79.104.10","192.168.88.132","QUIC","98","Protected Payload (KP0)"
"14993","139.441865","192.168.88.132","104.18.32.47","QUIC","91","Protected Payload (KP0), DCID=0121ab7a4171307f5621497a4571198ab6e419f2"
